Phrase,IPA,ES Pronunciation,ES Translation,Island
Please continue your work.,/pliːz kənˈtɪnjuː jɔːr wɜːrk/,plis kontiniu yor werk.,"Por favor, continúa con tu trabajo.",01 hundred / apples
She controls the remote.,/ʃi kənˈtroʊl ðə rɪˈmoʊt/,shi kontrols de rimot.,Ella controla el mando a distancia.,01 hundred / apples
I cook dinner every day.,/aɪ kʊk ˈdɪnər ˈɛvri deɪ/,ai kok diner evri dei.,Yo cocino la cena todos los días.,01 hundred / apples
How much does this cost?,/haʊ mʌtʃ dʌz ðɪs kɒst/,jau mach das dis kost.,¿Cuánto cuesta esto?,01 hundred / apples
Please count the apples.,/pliːz kaʊnt ðə ˈæpəlz/,plis kaunt de apols.,"Por favor, cuenta las manzanas.",02 swim / color
I can count on my family.,/aɪ kæn kaʊnt ɒn maɪ ˈfæmɪli/,ai kan kaunt on mai famili.,Puedo contar con mi familia.,02 swim / color
We create art at school.,/wi kriˈeɪt ɑːrt ət skuːl/,ui kriit art at skul.,Creamos arte en la escuela.,02 swim / color
The baby cries.,/ðə ˈbeɪbi kraɪz/,de beibi krais.,El bebé llora.,02 swim / color
Do not lie to me.,/duː nɒt laɪ tuː miː/,du not lai tu mi.,No me mientas.,02 swim / color
We decorate the tree.,/wiː ˈdɛkəreɪt ðə triː/,ui dekoreit de tri.,Decoramos el árbol.,02 swim / color
He defends the city.,/hiː dɪˈfɛndz ðə ˈsɪti/,ji difends de siti.,Él defiende la ciudad.,02 swim / color
I demand water.,/aɪ dɪˈmɑːnd ˈwɔːtə/,ai demand uoter.,Exijo agua.,02 swim / color
They dig the hole.,/ðeɪ dɪɡ ðə həʊl/,dei dig de jol.,Ellos cavan el agujero.,02 swim / color
We discuss the plan.,/wiː dɪsˈkʌs ðə plæn/,ui discas de plan.,Discutimos el plan.,02 swim / color
I do my work.,/aɪ duː maɪ wɜːk/,ai du mai uork.,Hago mi trabajo.,02 swim / color
I don't do my work.,/aɪ dəʊnt duː maɪ wɜːk/,ai dont du mai uork.,No hago mi trabajo.,02 swim / color
Do you do your work?,/duː juː duː jɔːr wɜːk/,du yu du yor uork?,¿Haces tu trabajo?,02 swim / color
When do you do your work?,/wɛn duː juː duː jɔːr wɜːk/,güen du yu du yor uork?,¿Cuándo haces tu trabajo?,02 swim / color
I did my work.,/aɪ dɪd maɪ wɜːk/,ai did mai uork.,Hice mi trabajo.,02 swim / color
I doubt it.,/aɪ daʊt ɪt/,ai daut it.,Lo dudo.,02 swim / color
Drop the ball.,/drɒp ðə bɔːl/,drop de bol.,Suelta la pelota.,02 swim / color
Please excuse me.,/pliːz ɪksˈkjuːz miː/,pliz ekskius mi.,"Por favor, discúlpame.",02 swim / color
Birds exist.,/bɜːdz ɪɡˈzɪst/,berds exist.,Las aves existen.,02 swim / color
I expect rain.,/aɪ ɪksˈpɛkt reɪn/,ai ekspect rein.,Espero lluvia.,02 swim / color
Explain the word.,/ɪksˈpleɪn ðə wɜːd/,eksplein de uord.,Explica la palabra.,02 swim / color
Leaves fall.,/liːvz fɔːl/,lifs fol.,Las hojas caen.,02 swim / color
I find the key.,/aɪ faɪnd ðə kiː/,ai faind de ki.,Encuentro la llave.,02 swim / color
We finish work.,/wiː ˈfɪnɪʃ wɜːk/,ui finish uork.,Terminamos el trabajo.,02 swim / color
Birds fly high.,/bɜːdz flaɪ haɪ/,berds flai jai.,Las aves vuelan alto.,02 swim / color
Follow the dog.,/ˈfɒləʊ ðə dɒɡ/,folou de dog.,Sigue al perro.,02 swim / color
I forget the name.,/aɪ fəˈɡɛt ðə neɪm/,ai forguet de neim.,Olvido el nombre.,02 swim / color
Forgive him.,/fəˈɡɪv hɪm/,forgiv jim.,Perdónalo.,02 swim / color
Give me the pen.,/ɡɪv miː ðə pɛn/,giv mi de pen.,Dame el bolígrafo.,02 swim / color
Give a hint.,/ɡɪv ə hɪnt/,giv a jint.,Dame una pista.,02 swim / color
I go home.,/aɪ ɡəʊ həʊm/,ai go jom.,Voy a casa.,02 swim / color
I don't go home.,/aɪ dəʊnt ɡəʊ həʊm/,ai dont go jom.,No voy a casa.,02 swim / color
Do you go home?,/duː juː ɡəʊ həʊm/,du yu go jom?,¿Vas a casa?,02 swim / color
Why do you go home?,/waɪ duː juː ɡəʊ həʊm/,guai du yu go jom?,¿Por qué vas a casa?,02 swim / color
I went home.,/aɪ wɛnt həʊm/,ai guent jom.,Fui a casa.,02 swim / color
We go for a swim.,/wiː ɡəʊ fɔːr ə swɪm/,ui go for a swim.,Vamos a nadar.,02 swim / color
We don't go for a swim.,/wiː dəʊnt ɡəʊ fɔːr ə swɪm/,ui dount gou for a swim.,No vamos a nadar.,02 swim / color
Do we go for a swim?,/duː wiː ɡəʊ fɔːr ə swɪm/,du ui gou for a swim?,¿Vamos a nadar?,02 swim / color
Who goes for a swim?,/huː ɡəʊz fɔːr ə swɪm/,ju gouz for a swim?,¿Quién va a nadar?,02 swim / color
We went for a swim.,/wiː went fɔːr ə swɪm/,ui uent for a swim.,Fuimos a nadar.,02 swim / color
I go out from the room.,/aɪ ɡəʊ aʊt frɒm ðə ruːm/,ai gou aut from de rum.,Salgo de la habitación.,02 swim / color
You guess right.,/juː ɡɛs raɪt/,yu gues rait.,Adivinas bien.,02 swim / color
I have a car.,/aɪ hæv ə kɑː/,ai jav a car.,Tengo un coche.,02 swim / color
I don't have a car.,/aɪ dəʊnt hæv ə kɑː/,ai dont jav a car.,No tengo un coche.,02 swim / color
Do you have a car?,/duː juː hæv ə kɑː/,du iu jav a car?,¿Tienes un coche?,02 swim / color
What car do you have?,/wɒt kɑː duː juː hæv/,wot car du iu jav?,¿Qué coche tienes?,02 swim / color
I had a car.,/aɪ hæd ə kɑː/,ai jad a car.,Tenía un coche.,02 swim / color
We have breakfast.,/wiː hæv ˈbrɛkfəst/,wi jav brekfost.,Desayunamos.,02 swim / color
They have dinner.,/ðeɪ hæv ˈdɪnə/,dei jav diner.,Cenan.,02 swim / color
She has lunch.,/ʃiː hæz lʌntʃ/,shi jas lanch.,Ella almuerza.,02 swim / color
She doesn't have lunch.,/ʃiː ˈdʌznt hæv lʌntʃ/,shi daznt jav lanch.,Ella no almuerza.,02 swim / color
Does she have lunch?,/dʌz ʃiː hæv lʌntʃ/,daz shi jav lanch?,¿Ella almuerza?,02 swim / color
When does she have lunch?,/wɛn dʌz ʃiː hæv lʌntʃ/,wen daz shi jav lanch?,¿Cuándo almuerza ella?,02 swim / color
She had lunch.,/ʃiː hæd lʌntʃ/,shi jad lanch.,Ella almorzó.,02 swim / color
I hear a sound.,/aɪ hɪər ə saʊnd/,ai jir a saund.,Oigo un sonido.,02 swim / color
I help my mom.,/aɪ hɛlp maɪ mɒm/,ai jelp mai mom.,Ayudo a mi mamá.,02 swim / color
I hide the toy.,/aɪ haɪd ðə tɔɪ/,ai jaid de toi.,Escondo el juguete.,02 swim / color
I hope for sun.,/aɪ həʊp fɔː sʌn/,ai joup for san.,Espero que haga sol.,02 swim / color
I hunt for food.,/aɪ hʌnt fɔː fuːd/,ai jant for fud.,Cazo comida.,02 swim / color
I hurry to work.,/aɪ ˈhʌri tuː wɜːk/,ai jari tu werk.,Me apresuro al trabajo.,02 swim / color
I inform him.,/aɪ ɪnˈfɔːm hɪm/,ai inform jim.,Le informo.,02 swim / color
I insist on it.,/aɪ ɪnˈsɪst ɒn ɪt/,ai insist on it.,Insisto en eso.,02 swim / color
Do not insult me.,/duː nɒt ɪnˈsʌlt miː/,du not insult mi.,No me insultes.,02 swim / color
I invite my friend.,/aɪ ɪnˈvaɪt maɪ frɛnd/,ai inbait mai frend.,Invito a mi amigo.,02 swim / color
I joke a lot.,/aɪ dʒəʊk ə lɒt/,ai yolk a lot.,Bromeo mucho.,02 swim / color
I keep the book.,/aɪ kiːp ðə bʊk/,ai kip de buk.,Me quedo con el libro.,02 swim / color
I keep silent now.,/aɪ kiːp ˈsaɪlənt naʊ/,ai kip sailent nau.,Me quedo callado ahora.,02 swim / color
I kill the bug.,/aɪ kɪl ðə bʌɡ/,ai kil de bag.,Mato el insecto.,02 swim / color
I know him well.,/aɪ nəʊ hɪm wɛl/,ai nou jim uel.,Lo conozco bien.,02 swim / color
I know the truth.,/aɪ nəʊ ðə truːθ/,ai nou de truz.,Conozco la verdad.,02 swim / color
I laugh at it.,/aɪ lɑːf æt ɪt/,ai laf at it.,Me río de eso.,02 swim / color
They liberate the city.,/ðeɪ ˈlɪbəreɪt ðə ˈsɪti/,dei libereit de siti.,Liberan la ciudad.,02 swim / color
I like this song.,/aɪ laɪk ðɪs sɒŋ/,ai laik dis song.,Me gusta esta canción.,02 swim / color
I don't like this song.,/aɪ dəʊnt laɪk ðɪs sɒŋ/,ai dont laik dis song.,No me gusta esta canción.,02 swim / color
Do you like this song?,/duː juː laɪk ðɪs sɒŋ/,du iu laik dis song?,¿Te gusta esta canción?,02 swim / color
How much do you like this song?,/haʊ mʌtʃ duː juː laɪk ðɪs sɒŋ/,jau mach du iu laik dis song?,¿Cuánto te gusta esta canción?,02 swim / color
I liked this song.,/aɪ laɪkt ðɪs sɒŋ/,ai laikt dis song.,Me gustó esta canción.,02 swim / color
I look for my cat.,/aɪ lʊk fɔː maɪ kæt/,ai luk for mai kat.,Busco a mi gato.,02 swim / color
I love you very much.,/aɪ lʌv juː vɛri mʌtʃ/,ai lav yu beri mach.,Te quiero mucho.,02 swim / color
I don't love you very much.,/aɪ dəʊnt lʌv juː vɛri mʌtʃ/,ai dont lav yu beri mach.,No te quiero mucho.,02 swim / color
Do you love me very much?,/duː juː lʌv miː vɛri mʌtʃ/,du yu lav mi beri mach?,¿Me quieres mucho?,02 swim / color
How much do you love me?,/haʊ mʌtʃ duː juː lʌv miː/,jau mach du yu lav mi?,¿Cuánto me quieres?,02 swim / color
I loved you very much.,/aɪ lʌvd juː vɛri mʌtʃ/,ai lavd yu beri mach.,Te quise mucho.,02 swim / color
I make a mistake.,/aɪ meɪk ə mɪsteɪk/,ai meik a misteik.,Cometo un error.,02 swim / color
He runs the shop.,/hiː rʌnz ðə ʃɒp/,ji rans de shop.,Él gestiona la tienda.,02 swim / color
It means good luck.,/ɪt miːnz gʊd lʌk/,it mins gud lak.,Significa buena suerte.,02 swim / color
I mention the book.,/aɪ mɛnʃən ðə bʊk/,ai menshion de buk.,Menciono el libro.,02 swim / color
I miss the bus.,/aɪ mɪs ðə bʌs/,ai mis de bas.,Pierdo el autobús.,02 swim / color
I notice the dog.,/aɪ nəʊtɪs ðə dɒg/,ai notis de dog.,Noto al perro.,02 swim / color
I object to it.,/aɪ əbˈdʒɛkt tuː ɪt/,ai obyect tu it.,Me opongo a eso.,02 swim / color
We observe the birds.,/wiː əbˈzɜːv ðə bɜːdz/,ui obzerv de bords.,Observamos a los pájaros.,02 swim / color
Please open the door.,/pliːz ˈəʊpən ðə dɔː/,pliz oupen de dor.,"Por favor, abre la puerta.",02 swim / color
I order some tea.,/aɪ ˈɔːdə sʌm tiː/,ai oder som ti.,Pido algo de té.,02 swim / color
He orders the men.,/hiː ˈɔːdəz ðə mɛn/,ji oderz de men.,Él ordena a los hombres.,02 swim / color
I own a car.,/aɪ əʊn ə kɑː/,ai oun a car.,Poseo un coche.,02 swim / color
I participate in the game.,/aɪ pɑːˈtɪsɪpeɪt ɪn ðə geɪm/,ai partisipeit in de geim.,Participo en el juego.,02 swim / color
I pay for the food.,/aɪ peɪ fɔː ðə fuːd/,ai pei for de fud.,Pago la comida.,02 swim / color
It permits no cars.,/ɪt pəˈmɪts nəʊ kɑːz/,it permit nou cars.,No permite coches.,02 swim / color
We plan a trip.,/wiː plæn ə trɪp/,ui plan a trip.,Planificamos un viaje.,02 swim / color
The kids play in the park.,/ðə kɪdz pleɪ ɪn ðə pɑːk/,de kids plei in de park.,Los niños juegan en el parque.,02 swim / color
I pray every day.,/aɪ preɪ ˈɛvri deɪ/,ai prei evrei dei.,Rezo todos los días.,02 swim / color
I prefer coffee.,/aɪ prɪˈfɜː kɒfi/,ai prefer cofi.,Prefiero café.,02 swim / color
I promise to help.,/aɪ ˈprɒmɪs tuː hɛlp/,ai promis tu jelp.,Prometo ayudar.,02 swim / color
Please pronounce the word.,/pliːz prəˈnaʊns ðə wɜːd/,liz pronauns de uord.,"Por favor, pronuncia la palabra.",02 swim / color
I propose a new plan.,/aɪ prəˈpəʊz ə njuː plæn/,ai propous a niu plan.,Propongo un nuevo plan.,02 swim / color
They punish the dog.,/ðeɪ pʌnɪʃ ðə dɒg/,dei panish de dog.,Ellos castigan al perro.,02 swim / color
I read a book at home.,/aɪ riːd ə bʊk æt həʊm/,ai rid a buk at jom.,Leo un libro en casa.,02 swim / color
I recommend this good food.,/aɪ rɛkəˈmɛnd ðɪs gʊd fuːd/,ai rekomend dis gud fud.,Recomiendo esta buena comida.,02 swim / color
I refuse the red car.,/aɪ rɪˈfjuːz ðə rɛd kɑː/,ai rifius de red kar.,Rechazo el coche rojo.,02 swim / color
I regret my bad mistake.,/aɪ rɪˈɡrɛt maɪ bæd mɪˈsteɪk/,ai rigret mai bad misteik.,Lamento mi mal error.,02 swim / color
I rent a small house.,/aɪ rɛnt ə smɔːl haʊs/,ai rent a smol jaus.,Alquilo una casa pequeña.,02 swim / color
Please repeat the word.,/pliːz rɪˈpiːt ðə wɜːd/,pliz ripit de werd.,Por favor repite la palabra.,02 swim / color
I book a hotel room.,/aɪ bʊk ə həʊˈtɛl ruːm/,ai buk a jotel rum.,Reservo una habitación de hotel.,02 swim / color
The dog runs in the park.,/ðə dɒg rʌnz ɪn ðə pɑːk/,de dag rans in de park.,El perro corre en el parque.,02 swim / color
He saves the little cat.,/hiː seɪvz ðə ˈlɪtl kæt/,ji seivs de litl kat.,Él salva al gatito.,02 swim / color
I say hello to my friend.,/aɪ seɪ həˈləʊ tuː maɪ frɛnd/,ai sei jelo tu mai frend.,Digo hola a mi amigo.,02 swim / color
She scolds the bad boy.,/ʃiː skəʊldz ðə bæd bɔɪ/,shi skolds de bad boi.,Ella regaña al mal chico.,02 swim / color
I see the big sun.,/aɪ siː ðə bɪg sʌn/,ai si de big san.,Veo el gran sol.,02 swim / color
I don't see the big sun.,/aɪ dəʊnt siː ðə bɪg sʌn/,ai dont si de big san.,No veo el gran sol.,02 swim / color
Do you see the big sun?,/duː juː siː ðə bɪg sʌn/,du iu si de big san?,¿Ves el gran sol?,02 swim / color
Why do you see the big sun?,/waɪ du juː siː ðə bɪg sʌn/,uai du yu si der big san?,¿Por qué ves el gran sol?,02 swim / color
I saw the big sun.,/aɪ sɔː ðə bɪg sʌn/,ai so de big san.,Vi el gran sol.,02 swim / color
They sell fresh fruit.,/ðeɪ sɛl frɛʃ fruːt/,dei sel fresh frut.,Ellos venden fruta fresca.,02 swim / color
I send a letter today.,/aɪ sɛnd ə ˈlɛtə təˈdeɪ/,ai send a leter tudei.,Envío una carta hoy.,02 swim / color
The man shoots at the sky.,/ðə mæn ʃuːts æt ðə skaɪ/,de man shuts at de skai.,El hombre dispara al cielo.,02 swim / color
Do not shout at me.,/duː nɒt ʃaʊt æt miː/,du not shaut at mi.,No me grites.,02 swim / color
Show me your new phone.,/ʃəʊ miː jɔː njuː fəʊn/,sho mi yur niu fon.,Enséñame tu nuevo teléfono.,02 swim / color
Please sign the paper here.,/pliːz saɪn ðə ˈpeɪpə hɪə/,pliz sain de peiper jia.,Por favor firma el papel aquí.,02 swim / color
I sit down on the chair.,/aɪ sɪt daʊn ɒn ðə ʧɛə/,ai sit daun on de cher.,Me siento en la silla.,02 swim / color
She smiles at her dad.,/ʃiː smaɪlz æt hɜː dæd/,shi smails at jer dad.,Ella sonríe a su papá.,02 swim / color
I speak English with you.,/aɪ spiːk ˈɪŋglɪʃ wɪð juː/,ai spik inglish wid yu.,Hablo inglés contigo.,02 swim / color
He steals the money.,/hiː stiːlz ðə ˈmʌni/,ji stils de mani.,Él roba el dinero.,02 swim / color
Please stop the music now.,/pliːz stɒp ðə ˈmjuːzɪk naʊ/,pliz stop de miusic nau.,Por favor para la música ahora.,02 swim / color
The bus stops here.,/ðə bʌs stɒps hɪə/,de bas stops jia.,El autobús para aquí.,02 swim / color
I study math at school.,/aɪ ˈstʌdi mæθ æt skuːl/,ai estudi maz at skul.,Estudio matemáticas en la escuela.,02 swim / color
I like to swim in the pool.,/aɪ laɪk tuː swɪm ɪn ðə puːl/,ai laik tu suim in de pul.,Me gusta nadar en la piscina.,02 swim / color
I don't like to swim in the pool.,/aɪ dəʊnt laɪk tuː swɪm ɪn ðə puːl/,ai dont laik tu suim in de pul.,No me gusta nadar en la piscina.,02 swim / color
Do you like to swim in the pool?,/duː juː laɪk tuː swɪm ɪn ðə puːl/,du yu laik tu suim in de pul?,¿Te gusta nadar en la piscina?,02 swim / color
Which pool do you like to swim in?,/wɪtʃ puːl duː juː laɪk tuː swɪm ɪn/,guich pul du yu laik tu suim in?,¿En qué piscina te gusta nadar?,02 swim / color
I liked to swim in the pool.,/aɪ laɪkt tuː swɪm ɪn ðə puːl/,ai laikt tu suim in de pul.,Me gustaba nadar en la piscina.,02 swim / color
Please take this book.,/pliːz teɪk ðɪs bʊk/,pliz teik dis buk.,Por favor toma este libro.,02 swim / color
I think about you.,/aɪ θɪŋk əbaʊt juː/,ai zink abaut yu.,Pienso en ti.,02 swim / color
He will not hurt you.,/hiː wɪl nɒt hɜːt juː/,ji wil not jurt yu.,Él no te hará daño.,02 swim / color
Do not touch the dog.,/duː nɒt tʌtʃ ðə dɒɡ/,du not tach de dog.,No toques al perro.,02 swim / color
She can read it.,/ʃiː kæn riːd ɪt/,shi kan rid it.,Ella puede leerlo.,02 swim / color
I trust my best friend.,/aɪ trʌst maɪ bɛst frɛnd/,ai trust mai best frend.,Confío en mi mejor amigo.,02 swim / color
Try to eat the food.,/traɪ tuː iːt ðə fuːd/,trai tu it de fud.,Intenta comer la comida.,02 swim / color
Turn to the left.,/tɜːn tuː ðə lɛft/,tern tu de left.,Gira a la izquierda.,02 swim / color
He is a strong boy.,/hiː ɪz ə strɒŋ bɔɪ/,ji iz a stron boi.,Él es un niño fuerte.,02 swim / color
I understand the lesson.,/aɪ ʌndəˈstænd ðə ˈlɛsən/,ai anderstand de lesn.,Entiendo la lección.,02 swim / color
We play together.,/wiː pleɪ təˈɡeðə/,ui plei tugether.,Jugamos juntos.,02 swim / color
Please wait for me.,/pliːz weɪt fɔː miː/,pliz weit for mi.,Por favor espérame.,02 swim / color
I want a red apple.,/aɪ wɒnt ə rɛd ˈæpəl/,ai wont a red apol.,Quiero una manzana roja.,02 swim / color
Be careful with that.,/biː ˈkɛəfəl wɪð ðæt/,bi cariul wid dat.,Ten cuidado con eso.,02 swim / color
She works at a shop.,/ʃiː wɜːks æt ə ʃɒp/,shi works at a shop.,Ella trabaja en una tienda.,02 swim / color
I write with a pen.,/aɪ raɪt wɪð ə pɛn/,ai rait wid a pen.,Escribo con un boli.,02 swim / color
Write down your name.,/raɪt daʊn jɔː neɪm/,rait daun yor neim.,Escribe tu nombre.,02 swim / color
The color is blue.,/ðə ˈkʌlə ɪz bluː/,de colar is blu.,El color es azul.,02 swim / color
I like this blue.,/aɪ laɪk ðɪs bluː/,ai laik dis blu.,Me gusta este azul.,02 swim / color
I don't like this blue.,/aɪ dəʊnt laɪk ðɪs bluː/,ai dont laik dis blu.,No me gusta este azul.,02 swim / color
Do you like this blue?,/duː juː laɪk ðɪs bluː/,du iu laik dis blu?,¿Te gusta este azul?,02 swim / color
Why do you like this blue?,/waɪ duː juː laɪk ðɪs bluː/,wai du iu laik dis blu?,¿Por qué te gusta este azul?,02 swim / color
I liked this blue.,/aɪ laɪkt ðɪs bluː/,ai laikt dis blu.,Me gustó este azul.,02 swim / color
What is the color?,/wɒt ɪz ðə ˈkʌlə/,uot is de colar.,¿Cuál es el color?,02 swim / color
Look at the rainbow.,/lʊk æt ðə ˈreɪnbəʊ/,luk at de reinbou.,Mira el arcoíris.,02 swim / color
The cat is white.,/ðə kæt ɪz waɪt/,de kat is uait.,El gato es blanco.,02 swim / color
My bike is black.,/maɪ baɪk ɪz blæk/,mai baik is blak.,Mi bicicleta es negra.,02 swim / color
The sky is gray.,/ðə skaɪ ɪz ɡreɪ/,de skai is grei.,El cielo está gris.,02 swim / color
The grass is green.,/ðə ɡrɑːs ɪz ɡriːn/,de gras is green.,La hierba es verde.,02 swim / color
The banana is yellow.,/ðə bəˈnɑːnə ɪz ˈjɛloʊ/,de banana is yelou.,El plátano es amarillo.,02 swim / color
The apple is red.,/ðə ˈæpəl ɪz rɛd/,de apol is red.,La manzana es roja.,02 swim / color
The sky is blue.,/ðə skaɪ ɪz bluː/,de skai is blu.,El cielo es azul.,02 swim / color
Her shirt is light blue.,/hɜːr ʃɜːrt ɪz laɪt bluː/,jer shurt is lait blu.,Su camisa es azul claro.,02 swim / color
The flower is pink.,/ðə ˈflaʊər ɪz pɪŋk/,de flauer is pink.,La flor es rosa.,02 swim / color
The car is orange.,/ðə kɑːr ɪz ˈɔːrɪndʒ/,de car is orinch.,El coche es naranja.,02 swim / color
The flower is violet.,/ðə ˈflaʊər ɪz ˈvaɪələt/,de flauer is vaiollet.,La flor es violeta.,02 swim / color
The dog is brown.,/ðə dɔːɡ ɪz braʊn/,de dog is braun.,El perro es marrón.,02 swim / color
The ring is golden.,/ðə rɪŋ ɪz ˈɡoʊldən/,de ring is goulden.,El anillo es dorado.,02 swim / color
The coin is silvery.,/ðə kɔɪn ɪz ˈsɪlvəri/,de coin is silveri.,La moneda es plateada.,02 swim / color
The wall is beige.,/ðə wɔːl ɪz beɪʒ/,de uol is beish.,La pared es beige.,02 swim / color
The dress is cream.,/ðə drɛs ɪz kriːm/,de dres is crim.,El vestido es crema.,02 swim / color
The stone is turquoise.,/ðə stoʊn ɪz ˈtɜːrkwɔɪz/,de ston is turkois.,La piedra es turquesa.,02 swim / color
The car is cherry red.,/ðə kɑːr ɪz ˈtʃɛri rɛd/,de car is cheredi red.,El coche es rojo cereza.,02 swim / color
The dress is lilac.,/ðə drɛs ɪz ˈlaɪlək/,de dres is laillak.,El vestido es lila.,02 swim / color
